trial	status	score	n	sums	diffs	span	solver_seconds	set_hash	improved
trial_01	ok	1.0597930945472454	17	59	55	29	11.36187029100256	f4a998459f6902e59a292de8261751ef3d5a6fb3c32c8aa2890f1a3d3f6ffe0d	false
trial_02	ok	1.0597930945472454	17	59	55	29	165.07546004200412	f4a998459f6902e59a292de8261751ef3d5a6fb3c32c8aa2890f1a3d3f6ffe0d	false
trial_03	ok	1.0597930945472454	17	59	55	29	165.06080108399328	f4a998459f6902e59a292de8261751ef3d5a6fb3c32c8aa2890f1a3d3f6ffe0d	false
trial_04	ok	1.0734301120997747	17	67	61	33	160.05089262500405	9a1ddfe6abde28fdc8560d20d5576a969a2bedbb9d9ba109a93e2c324c81d9d0	true
trial_05	ok	1.0597930945472454	17	59	55	29	165.10390916701	f4a998459f6902e59a292de8261751ef3d5a6fb3c32c8aa2890f1a3d3f6ffe0d	false
