family	mechanism_id	complete_pairs	planned_pairs	guided_mean	guided_ci_low	guided_ci_high	control_mean	transfer_mean	transfer_ci_low	transfer_ci_high	positive_transfer_rate
representation	residual_continuation_v1	20	20	-0.0024285185767936716	-0.002604899380457899	-0.002252137773129444	-0.0024977762832910978	6.92577064974267e-05	-0.00017425098588867263	0.00031276639888352606	0.45
estimation	cross_fitted_targets	20	20	-0.004226534762402379	-0.004819275627680579	-0.003633793897124178	-0.0024977762832910978	-0.00172875847911128	-0.0021461737125425856	-0.0013113432456799748	0.0
optimization	boundary_weighted_loss_v1	20	20	-0.005448867712329877	-0.005847260352201483	-0.005050475072458271	-0.0024977762832910978	-0.0029510914290387796	-0.0032440661022965236	-0.0026581167557810357	0.0
inductive_bias	symbolic_affine_switch	20	20	-0.00024748841667219374	-0.00048667735244679145	-8.29948089759602e-06	-0.002284192473442407	0.002036704056770213	0.0018714500475265439	0.002201958066013882	1.0
